ReviewID,ProductID,Review,SatisfactionScore,AgeBin,PromotionalSale,Shipping,SalesEvent,SalesID
6,3,This smartphone has an excellent display and battery life.,4,Youth,Not Applied,In Store,TRUE,26
105,9,"Smooth performance, but lacks a headphone jack.",4,Young Adult,Not Applied,In Store,FALSE,31
74,1,This smartphone has an excellent display and battery life.,4,Young Adult,Applied,In Store,FALSE,35
266,5,"Fast boot times, but it overheats with heavy usage.",4,Young Adult,Applied,Express,FALSE,46
174,9,"Ideal for reading and browsing, but speakers could be better.",4,Young Adult,Applied,Standard,TRUE,49
220,6,This laptop is powerful and handles multitasking with ease.,4,Senior,Applied,Standard,FALSE,50
86,6,"Great keyboard and display, but storage space is limited.",4,Mid-Age Adult,Applied,Standard,FALSE,55
46,15,"Comfortable fit, but noise cancellation is average.",4,Adult,Applied,Express,TRUE,65
102,5,"Perfect for work and entertainment, but fan noise is noticeable.",4,Adult,Applied,Express,FALSE,80
148,1,"Value for money, but software updates are slow.",4,Adult,Not Applied,Express,TRUE,88
145,9,This tablet is perfect for media consumption and light gaming.,4,Youth,Not Applied,Standard,FALSE,96
12,6,Audio quality is quite poor for a laptop in this range.,4,Mid-Age Adult,Not Applied,Overnight,TRUE,103
184,8,"Ideal for reading and browsing, but speakers could be better.",4,Mid-Age Adult,Not Applied,Standard,FALSE,106
256,9,"Snappy and responsive, but limited app availability.",4,Mid-Age Adult,Not Applied,Overnight,TRUE,129
183,1,This smartphone has an excellent display and battery life.,4,Mid-Age Adult,Applied,Express,FALSE,132
116,5,"Perfect for work and entertainment, but fan noise is noticeable.",4,Youth,Not Applied,Overnight,TRUE,139
269,10,"Fast and smooth interface, but app selection is limited.",4,Senior,Applied,In Store,FALSE,143
67,4,"Great keyboard and display, but storage space is limited.",4,Mid-Age Adult,Applied,Overnight,TRUE,145
181,10,"Fast and smooth interface, but app selection is limited.",4,Senior,Applied,Standard,TRUE,148
52,10,"Fast and smooth interface, but app selection is limited.",4,Youth,Not Applied,Express,FALSE,149
261,1,"The camera quality is outstanding, but the battery drains quickly.",4,Youth,Not Applied,In Store,TRUE,152
